Sl,Category,SubCategory,Name,Address,Phone1,Phone2,Phone3,Email,City
105,মুন্সিগঞ্জ,সেল,মুন্সিগঞ্জ সেল,"পাকিজা টাওয়ার, (৩য় তলা), খালইস্ট রোড, সদর, মুন্সিগঞ্জ-১৫০০",+8801715696658,+8801946930868,+8801329746632,munshigonj@quantummethod.org.bd,মুন্সিগঞ্জ
106,মানিকগঞ্জ,প্রি-সেল,মানিকগঞ্জ প্রি-সেল,"বীর মুক্তিযোদ্ধা পাখী প্লাজা, (৩য় তলা), ১০৭-১০৮ শহীদ রফিক সড়ক, মানিকগঞ্জ",+8801329746636,+8801839908506,,,মানিকগঞ্জ
107,মাদারীপুর,প্রি-সেল,মাদারীপুর প্রি-সেল,"রাবেয়া ভিলা, কাজী মোস্তফা সড়ক, পাঠক কান্দি, মাদারীপুর",+8801894948648,,,,মাদারীপুর
108,শরীয়তপুর,প্রি-সেল,শরীয়তপুর প্রি-সেল,"৩০২/২, রূপনগর, সদর রোড, শরীয়তপুর",+8801894948647,,,,শরীয়তপুর
109,চট্টগ্রাম বিভাগ,সেল,শিকলবাহা সেল,"হাজী আহমদ আলীর বাড়ি, শিকলবাহা, কর্ণফুলী, চট্টগ্রাম-৪৩৭২",+8801715830273,+8801329746717,,shikolbaha@quantummethod.org.bd,চট্টগ্রাম
110,চট্টগ্রাম বিভাগ,সেল,সীতাকুন্ড সেল,"আবিদ কমপ্লেক্স, (৩য় তলা), ভাটিয়ারী, সীতাকুন্ড, চট্টগ্রাম-৪৩১৫",+8801824331363,+8801329746714,,sitakunda@quantummethod.org.bd,চট্টগ্রাম
111,চট্টগ্রাম বিভাগ,সেল,লোহাগাড়া সেল,"মরিয়ম ভবন, (তয় তলা), কাজীর পুকুর পাড়, লোহাগাড়া, চট্টগ্রাম-৪৩৯৬",+8801313486548,,,lohagara@quantummethod.org.bd,চট্টগ্রাম
112,রাঙ্গামাটি,প্রি-সেল,রাঙ্গামাটি প্রি-সেল,"বিলাস বিপণী মালিকের বিল্ডিং, (নিচ তলা), চম্পকনগর, রাঙ্গামাটি",+8801329746727,+8801828806840,,,রাঙ্গামাটি
113,সিলেট বিভাগ,সেল,গোলাপগঞ্জ সেল,"'জলীল মঞ্জিল', কদমতলী, গোলাপগঞ্জ, সিলেট-৩১৬০",+8801740288339,+8801329746690,,golapgonj@quantummethod.org.bd,সিলেট
114,সিলেট বিভাগ,সেল,বিশ্বনাথ সেল,"তৌসির এন্টারপ্রাইজ, পুরান বাজার, বিশ্বনাথ, সিলেট-৩১৩০",+8801712656825,+8801711360595,+8801329746691,,সিলেট
115,সিলেট বিভাগ,সেল,ছাতক সেল,"বাগবাড়ি, ছাতক, সুনামগঞ্জ-৩০৮০",+8801715002527,+8801711300502,+8801717266359,chhatak@quantummethod.org.bd,সুনামগঞ্জ
116,খুলনা বিভাগ,সেল,বাগমারা সেল,"হোসেন ভিলা, ১০, বাগমারা মেইন রোড, খুলনা-৯১০০",+8801716130004,,,bagmara@quantummethod.org.bd,খুলনা
117,খুলনা বিভাগ,সেল,নতুন বাজার সেল,"১৬ গগনবাবু রোড, কয়লাঘাট মন্দিরের পূর্ব দিকে, খুলনা-৯১০০",+8801746634499,,,newmarketkhulna@quantummethod.org.bd,খুলনা
118,খুলনা বিভাগ,সেল,দেয়াড়া সেল,"আবু মোল্লার বাড়ি, অগ্রদূত মাঠের পাশে, দেয়াড়া, আইচগাতী, রূপসা, খুলনা-৯২৪১",+8801917874343,,,maksudatamanna4@gmail.com,খুলনা
119,বাগেরহাট,সেল,ফকিরহাট সেল,"মেসার্স আরা ফিলিং স্টেশন, পাগলা শ্যামনগর, ফকিরহাট, বাগেরহাট-৯৩৭০",+8801715388172,,,arafilling@gmail.com,বাগেরহাট
120,ঝালকাঠি,সেল,ঝালকাঠি সেল,"৫৩ কামারপট্টি, ঝালকাঠি-৮৪০০",+8801848373547,+8801329746680,,jhalokati@quantummethod.org.bd,ঝালকাঠি
121,বরিশাল,শাখা,বরিশাল শাখা,"হদুয়া লজ, ২৫১, জর্ডন রোড, বরিশাল-৮২০০",+8801329746679,,,barishal@quantummethod.org.bd,বরিশাল
122,ভোলা,প্রি-সেল,ভোলা প্রি-সেল,"চৌধুরী রেসিডেন্স, নূরমসজিদ গলি, মুসলমান পাড়া, ভোলা",+8801329746678,,,,ভোলা
123,রাজশাহী বিভাগ,সেল,নওহাটা সেল,"নিহার সুইটস এর ৪র্থ তলা, পবা থানার বিপরীতে, নওহাটা বাজার, নওহাটা, রাজশাহী-৬২১৩",+8801912434231,,,nawhata@quantummethod.org.bd,রাজশাহী
124,রাজশাহী বিভাগ,সেল,বোধিপুর সেল,"কাদিপুর, শিতলাই, পবা, রাজশাহী-৬২৬০",+8801717083499,,,bodhipur@quantummethod.org.bd,রাজশাহী
125,রাজশাহী বিভাগ,সেল,সারদা সেল,"সারদা ট্রাফিক মোড়, সারদা, চারঘাট, রাজশাহী-৬২৭১",+8801722925355,,,sardah@quantummethod.org.bd,রাজশাহী
126,বগুড়া,সেল,শেরপুর সেল,"নাফিসা চাইল্ড কেয়ার হোম, হাটখোলা রোড, বাস স্ট্যান্ড, শেরপুর, বগুড়া-৫৮০০",+8801923972550,,,sherpur@quantummethod.org.bd,বগুড়া
127,চাঁপাইনবাবগঞ্জ,সেল,চাঁপাইনবাবগঞ্জ সেল,"'সমর্পন', ৭৮/১, শান্তিবাগ, চাঁপাইনবাবগঞ্জ-৬৩০০",+8801712066618,+8801712213599,,chapainawabgonj@quantummethod.org.bd,চাঁপাইনবাবগঞ্জ
128,চুয়াডাঙ্গা,সেল,আলমডাঙ্গা সেল,"ভাইস চেয়ারম্যান দেলওয়ার সাহেবের বাসা, নিচতলা, আলমডাঙ্গা থানার পাশে, আলমডাঙ্গা, চুয়াডাঙ্গা",+8801712337968,,,harun31152@gmail.com,চুয়াডাঙ্গা
129,নেত্রকোনা,প্রি-সেল,নেত্রকোনা প্রি-সেল,"পুরাতন হাসপাতাল রোড, নেত্রকোনা",+8801329746698,+8801712617474,+8801789932345,,নেত্রকোনা
130,টাঙ্গাইল,প্রি-সেল,টাঙ্গাইল প্রি-সেল,"বাসা#০৩, ব্লক#এ/২, তুহিন রোড, শিবনাথ পাড়া, টাঙ্গাইল",+8801329746637,+8801733727664,,,টাঙ্গাইল
131,ঠাকুরগাঁও,প্রি-সেল,ঠাকুরগাঁও প্রি-সেল,"শ্রদ্ধা পূর্ব হাজীপাড়া, ঠাকুরগাঁও",+8801329746668,,,,ঠাকুরগাঁও
132,লালমনিরহাট,সেল,লালমনিরহাট সেল,"বছিরটারি, নর্থবেঙ্গল, খোর্দ্দ সাপটানা, লালমনিরহাট-৫৫০০",+8801868161722,,,lalmonirhat@quantummethod.org.bd,লালমনিরহাট
133,সিরাজগঞ্জ,প্রি-সেল,সিরাজগঞ্জ প্রি-সেল,"স্টেডিয়াম রোড, সিরাজগঞ্জ সদর, সিরাজগঞ্জ",+8801798801951,+8801734563299,,,সিরাজগঞ্জ
134,চাঁদপুর,প্রি-সেল,চাঁদপুর প্রি-সেল,"১০৭৫ আব্দুল মতিন মঞ্জিল, (১ম তলা), গাজিবাড়ি রোড, তালতলা, চাঁদপুর",+8801712002920,+8801533935118,,,চাঁদপুর
135,লক্ষ্মীপুর,প্রি-সেল,লক্ষ্মীপুর প্রি-সেল,"আবুল খায়ের ম্যানশন, (২য় তলা), মাদাম ব্রীজ, পার্বতি নগর, লক্ষ্মীপুর সদর",+8801675955342,+8801746880886,,,লক্ষ্মীপুর
136,ঢাকা বিভাগ,সেল,আহমেদনগর সেল,"৭২ জোনাকি রোড, আহমেদনগর, ঢাকা-১২১৬",+8801781510037,,,ahmednagar@quantummethod.org.bd,ঢাকা
137,ঢাকা বিভাগ,সেল,তুরাগ প্রি-সেল,"বাড়ি#১০, রোড#১১, সেক্টর#১০, উত্তরা, ঢাকা-১২৩০",+8801819251257,+8801726088497,+8801874358907,,ঢাকা
138,ঢাকা বিভাগ,সেল,পূরবী সেল,"বাসা ২৪, রোড ২৪, পল্লবী, ঢাকা-১২১৬",+8801870725911,,,purobi@quantummethod.org.bd,ঢাকা
139,ঢাকা বিভাগ,সেল,মিরপুর-১১ সেল,"সেকশন-১১ ,ব্লক-এ , রোড-১, বাড়ি -১, এভিনিউ ১ (২য় তলা), মিরপুর, ঢাকা",+8801677234567,+8809678771714,,,ঢাকা
140,ঢাকা বিভাগ,সেল,মিরপুর-৬ সেল,"সেকশন-৬, ব্লক-সি, লেন-১৩, বাসা-২, ঢাকা-১২১৬",+8801676987506,,,,ঢাকা
141,ঢাকা বিভাগ,সেল,মুগদা প্রি-সেল,"১২৬/২/ক, উত্তর মুগদা, তৃতীয় তলা, আরব সেন্টার, মুগদা, ঢাকা-১২১৪",+8801515616414,,,,ঢাকা
142,ঢাকা বিভাগ,সেল,লালকুঠি সেল,"২৩১, ব্লক-ডি, লালকুঠি, প্রথম কলোনি, মিরপুর ১, ঢাকা",+8801730903662,,,,ঢাকা
143,ঢাকা বিভাগ,সেল,লালমাটিয়া সেল,"ডি#১৫, ব্লক#ই, জাকির হোসেন রোড, মোহাম্মদপুর, ঢাকা-১২০৭",+8801329746623,,,lalmatia@quantummethod.org.bd,ঢাকা
144,ঢাকা বিভাগ,সেল,লেকসিটি কনকর্ড প্রি-সেল,"এসএ#১, লেভেল#১৫, করবী বিল্ডিং, লেকসিটি, খিলক্ষেত",+8801815727073,+8801329746649,,,ঢাকা
145,ঢাকা বিভাগ,সেল,শেওড়া পাড়া সেল,"৯৫৭ পূর্ব শেওড়া পাড়া, মিরপুর, ঢাকা-১২১৬",+8801937677965,,,sheorapara@quantummethod.org.bd,ঢাকা
146,ঢাকা বিভাগ,সেল,কেরাণীগঞ্জ প্রি-সেল,"হাজী বারেক সাহেবের বাড়ি, ২য় তলা, চুনকুটিয়া চৌরাস্তা, কেরাণীগঞ্জ, ঢাকা-১৩১০",+8801911542613,,,keraniganj@quantummethod.org.bd,কেরাণীগঞ্জ
147,ঢাকা বিভাগ,সেল,মনিপুর সেল,"৭৮৪ মধ্য মনিপুর, মিরপুর-২, ঢাকা-১২১৬",+8801817607199,,,monipur@quantummethod.org.bd,ঢাকা
148,ঢাকা বিভাগ,সেল,সূত্রাপুর সেল,"১৯/১, নন্দলাল দত্ত লেন, লক্ষ্মীবাজার, ঢাকা-১১০০",+8801783050366,,,sutrapur@quantummethod.org.bd,ঢাকা
149,চট্টগ্রাম বিভাগ,সেল,কোয়ান্টামম লামা,"বোধিছড়া, কেয়াজুপাড়া, সরই, লামা, বান্দরবান-৩২৭৪",+8801313486520,+8801601486521,+8801714094271,quantumom@quantummethod.org.bd,বান্দরবান
150,খুলনা বিভাগ,সেল,ফকিরহাট সেল,"মেসার্স আরা ফিলিং স্টেশন, পাগলা শ্যামনগর, ফকিরহাট, বাগেরহাট-৯৩৭০",+8801715388172,,,arafilling@gmail.com,বাগেরহাট
151,যশোর,শাখা,যশোর শাখা,"৯, আচার্য প্রফুল্ল চন্দ্র রোড, লোন অফিস পাড়া, যশোর-৭৪০০",+8801917419301,+88042151398,+8801619286577,jessore@quantummethod.org.bd,যশোর
152,গোপালগঞ্জ,শাখা,গোপালগঞ্জ শাখা,"৯৬, ডিসি রোড, গোপালগঞ্জ-৮১০০",+8801712918662,+8801911023607,+8801329746676,gopalgonj@quantummethod.org.bd,গোপালগঞ্জ
153,সাতক্ষীরা,সেল,সাতক্ষীরা সেল,"ব্যাংকার্স কলোনি, সরকারী কলেজ রোড, মুনজিতপুর, সাতক্ষীরা-৯৪০০",+8801710070909,+8801925228476,+8801329746675,satkhira@quantummethod.org.bd,সাতক্ষীরা
